"Category: ""All Commands""; Filter: """""
ID,Title,Description,Shortcut,"Shortcut 2"
cmd.view.3DModelTree,"3D Model Tree","Show/Hide the 3D Model Tree pane.
The 3D Model Tree pane shows a hierarchy of selected 3D Artwork in the document.
",,
cmd.help.about,About...,"Show the application version and build, and copyright information.",,
cmd.window.activeDocToNewHorzTabGroup,"Active Document to New Horizontal Tab Group","Create a new tab group, under the current tab group, and place the active document into the new group.",,
cmd.window.activeDocToNewVertTabGroup,"Active Document to New Vertical Tab Group","Create a new tab group, to the right of the current tab group, and place the active document into the new group.",,
cmd.zoom.level.actual,"Actual Size","Set the zoom level to 100%, showing the document pages at their actual size.",Ctrl+1,
cmd.tool.selBarcodePlace,"Add Barcode...","Add a barcode.",,
cmd.addBookmark,"Add Bookmark","Create a new bookmark that points to the current page.",Ctrl+Shift+B,
cmd.addLink.custom,"Add Custom Link...","Place a new link annotation, with custom action, on selected section of the page.",,
cmd.view.portfolio.addFiles,"Add Files...","Add new files to the Portfolio.",,
cmd.view.portfolio.addFolder,"Add Folder...","Add new folder to the Portfolio.",,
cmd.addLink.goto,"Add GoTo Link...","Place a new link annotation, with GoTo action, on selected section of the page.",,
cmd.document.addImage,"Add Image...","Add an image.",,
cmd.tool.selImagePlace,"Add Image...","Add an image.",,
cmd.addLink,"Add Link...","Place a new link annotation on selected section of the page.",,
cmd.rulers.addNewGuides,"Add New Guides...","Add one, or more, new guides to the specified pages.",,
cmd.layersView.addNewLayer,"Add New Layer","Add an optional content group to the current document.",,
cmd.stampsView.addNewFromCb,"Add New Stamp from Clipboard...","Create a new stamp from an image, content, comment or page in the Clipboard.",,
cmd.stampsView.addNew,"Add New Stamp from File...","Create a new stamp from a file.",,
cmd.addLink.launch,"Add Open File Link...","Place a new link annotation, with Launch action, on selected section of the page.",,
cmd.annot.addReply,"Add Reply","Add reply to the selected annotation. The replies appear at the bottom of the pop-up note.",,
cmd.addStickyNote,"Add Sticky Note","Add a new sticky note annotation on selected section of the page.",,
cmd.tool.addText,"Add Text","Add text as base content, instead of an annotation.",,
cmd.layersView.addNewGroup,"Add Text Label","Add a text label that is used to present collections of related optional content groups.",,
cmd.bp.addTextToBookmarkTitle,"Add Text to Bookmark Titles...","Adds prefixes and suffixes to the bookmarks' titles.",,
cmd.addLink.uri,"Add Web Link...","Place a new link annotation, with URI action, on selected section of the page.",,
cmd.document.batesNumbering.addMulti,"Add to Multiple Files...","Add bates numbering to a selection of documents.",,
cmd.document.headerAndFooter.add,Add...,"Add headers and footers to the document.",,
cmd.document.background.add,Add...,"Add a background to the document.",,
cmd.document.batesNumbering.add,Add...,"Add bates numbering to the document.",,
cmd.document.watermarks.add,Add...,"Add watermarks to the document. Watermarks can either be text or an image.",,
cmd.tool.annot.edit3D,"Add/Edit 3D Annotations","Add a new 3D object, or edit an existing one.",,
cmd.tool.annot.editSound,"Add/Edit Audio","Add a new audio object, or edit an existing one.",,
cmd.tool.annot.editVideo,"Add/Edit Video","Add a new video object, or edit an existing one.",,
cmd.align.bottom,"Align Bottom Edges","Selected objects will be aligned to the bottom edge of the lowest item.",,
cmd.align.center,"Align Horizontal Centers",,,
cmd.align.left,"Align Left Edges","Selected objects will be aligned with the leftmost edge.",,
cmd.align.right,"Align Right Edges","Selected objects will be aligned with the rightmost edge.",,
cmd.alignto.keyObject,"Align Selected objects to Key object","Selected object will be aligned to the selection's key object.",,
cmd.alignto.page,"Align Selected objects to Page","Selected object will be aligned to the page.",,
cmd.alignto.selection,"Align Selected objects to Selection Bounds","Selected object will be aligned to the selection bounds.",,
cmd.textAlign.left,"Align Text Left","Align text to the left.",Ctrl+L,
cmd.textAlign.right,"Align Text Right","Align text to the right.",Ctrl+R,
cmd.align.top,"Align Top Edges","Selected objects will be aligned to the top edge of the highest item.",,
cmd.align.middle,"Align Vertical Centers",,,
cmd.comments.show.byType.all,All,,,
cmd.comments.show.byAuthor.all,All,,,
cmd.selectAllContentItems,All,"Select all content items of the current document.",,
